"key_person","key_uuid","key_mlbam","key_retro","key_bbref","key_fangraphs","name_first","name_last","name_given","name_nick","birth_year","birth_month","birth_day","pro_played_first","mlb_played_first","mlb_played_last"
"6020b1f4","6020b1f4-4854-4617-a86b-33e3f959c901",430911,"aardd001","aardsda01",1902,"David","Aardsma","David Allan","",1981,12,27,2003,2004,2015
"409c5800","409c5800-6f02-42e5-8ec7-a5c87279730d",472551,"abadf001","abadfe01",4994,"Fernando","Abad","Fernando Antonio","",1985,12,17,2006,2010,2019
"5ccf29ba","5ccf29ba-f469-43ae-86f1-379f3def6077",110029,"abreb001","abreubo01",945,"Bobby","Abreu","Bob Kelly","",1974,3,11,1991,1996,2014
"205d5c4c","205d5c4c-3c2b-40f3-9330-43a183fbddb0",650556,"","abreubr01",16609,"Bryan","Abreu","Bryan Enrique","",1997,4,22,2014,2019,2019
"93df872d","93df872d-2017-4e79-b853-4f0da72faee5",547989,"abrej003","abreujo02",15676,"Jose","Abreu","Jose Dariel","",1987,1,29,2003,2014,2019
"80c69833","80c69833-f3f3-432b-889e-cf87e44f5e89",444874,"abrej002","abreuju01",6306,"Juan","Abreu","Juan de Dios","",1985,4,8,2005,2011,2011
"133e636e","133e636e-132a-4a28-82fd-6c831e589ed2",473234,"abret001","abreuto01",5053,"Tony","Abreu","Etanislao Toni","",1984,11,13,2003,2007,2014
"eb4b8123","eb4b8123-b781-4138-bb2f-ee281a098102",435618,"accaj001","accarje01",6428,"Jeremy","Accardo","Jeremiah Lee","",1981,12,18,2004,2005,2012
"5621ac87","5621ac87-b987-4481-9218-893148fedb8d",469686,"aceva001","aceveal01",5164,"Alfredo","Aceves","Alfredo","",1982,12,8,2002,2008,2014
"86311a26","86311a26-4685-4389-a112-424c471af9d5",592091,"achta001","achteaj01",11387,"A. J.","Achter","Adam Joseph","",1988,8,27,2010,2014,2016
"c92cdb60","c92cdb60-0b23-4d11-b152-f4f9c93e9b3c",554429,"ackld001","ackledu01",10099,"Dustin","Ackley","Dustin Michael","",1988,2,26,2009,2011,2016
"142d54fc","142d54fc-48ad-4b2e-bff6-bb7074ee4613",407924,"acosm001","acostma01",8725,"Manny","Acosta","Manuel Alcides","",1981,5,1,2000,2007,2012
"cc15ccfa","cc15ccfa-fa17-4782-8bbc-fb7c9410532e",660670,"acunr001","acunaro01",18401,"Ronald","Acuna","Ronald Jose","",1997,12,18,2015,2018,2019
"1e4697b8","1e4697b8-11c8-49bd-8b1e-76666ef6645b",592094,"adamj002","adamja01",11861,"Jason","Adam","Jason Kendall","",1991,8,4,2011,2018,2019
"f3ad1637","f3ad1637-b172-4d21-9cbd-a503f64c8cf8",542436,"adamc001","adamecr01",6013,"Cristhian","Adames","Cristhian Pascual","",1991,7,26,2008,2014,2019
"c774cc57","c774cc57-d13a-43af-be07-fd75affe5897",642715,"adamw002","adamewi01",15986,"Willy","Adames","Willy Rafael","",1995,9,2,2013,2018,2019
"4a4fa511","4a4fa511-b3de-4dcc-941a-d72b47d0217f",613534,"adama002","adamsau02",13801,"Austin","Adams","Austin Lance","",1991,5,5,2012,2017,2019
"eb626ce0","eb626ce0-bf9b-4176-a637-c1695535dd4d",542866,"adama001","adamsau01",7411,"Austin","Adams","Austin David","",1986,8,19,2009,2014,2019
"a373c521","a373c521-fd02-44f9-a0af-7fc66f6d3ba8",664856,"adamc002","adamsch01",18135,"Chance","Adams","Chance","",1994,8,10,2015,2018,2019
"70443284","70443284-f790-4cc9-bad3-0b41bef1307a",458691,"adamd001","adamsda02",7389,"David","Adams","David Lee","",1987,5,15,2008,2013,2013
"ed642909","ed642909-bf7e-4f52-b2ff-df4a5fbb5cb1",572669,"adaml001","adamsla01",10767,"Lane","Adams","Lane Weston","",1989,11,13,2009,2014,2018
"0485ec7e","0485ec7e-4cf1-403d-8db5-034b02bde8db",571431,"adamm002","adamsma01",9393,"Matt","Adams","Matthew James","Big City",1988,8,31,2009,2012,2019
"34ca073e","34ca073e-f5d4-49b4-8b6e-f27299baa4be",430606,"adamm001","adamsmi03",1937,"Mike","Adams","Jon Michael","",1978,7,29,2001,2004,2014
"ea4356ca","ea4356ca-3f96-4642-a75d-866685c836ba",502031,"adamr003","adamsry01",6343,"Ryan","Adams","Ryan Scott","",1987,4,21,2006,2011,2011
"74556c6f","74556c6f-da2a-463b-806c-e903d62ef963",502264,"adcon001","adcocna01",3282,"Nathan","Adcock","Nathan Masler","",1988,2,25,2006,2011,2015
"d6e377d2","d6e377d2-2638-4d32-9db7-b37f31d8c417",451192,"adduj002","adducji02",6448,"Jim","Adduci","Jim Charles","",1985,5,15,2004,2013,2019
"6d1e0e9e","6d1e0e9e-afd4-4a38-bf4e-bdeaa2b6e714",534947,"adlet001","adlemti01",10968,"Tim","Adleman","Timothy Max","",1987,11,13,2010,2016,2017
"9cfad85e","9cfad85e-dd0b-43f5-9b1c-bc019c419750",501303,"adrie001","adriaeh01",8418,"Ehire","Adrianza","Ehire Enrique","",1989,8,21,2006,2013,2019
"e836cdca","e836cdca-a2b3-411f-b479-4b575b9efcb8",346793,"affej001","affelje01",583,"Jeremy","Affeldt","Jeremy David","",1979,6,6,1997,2002,2015
"b1eaa82e","b1eaa82e-df06-47a6-8ed7-28e2d011f0a6",642607,"","agrazda01",15821,"Dario","Agrazal","Dario Abdiel","",1994,12,28,2013,2019,2019
"0b68e7df","0b68e7df-7b58-4fd7-8c1a-cd087e5b47f1",542583,"aguij001","aguilje01",11342,"Jesus","Aguilar","Jesus Alexander","",1990,6,30,2008,2014,2019
"c7983610","c7983610-55ee-40d3-8da8-1b48ffcb3cf1",605113,"ahmen001","ahmedni01",12147,"Nick","Ahmed","Nicholas Mark","",1990,3,15,2011,2014,2019
"a0c094a7","a0c094a7-c1d4-4c7b-ba98-a59f530fe4dc",595798,"","alanirj01",10819,"R. J.","Alaniz","Ruben","",1991,6,14,2010,2019,2019
"978be996","978be996-5419-409c-adab-460ec1cf9d83",452293,"albaj001","albaljo01",3521,"Jonathan","Albaladejo","Jonathan","",1982,10,30,2001,2007,2012
"58519a65","58519a65-9bd0-4952-ac33-f4f518f859a9",452027,"albea001","alberan01",7853,"Andrew","Albers","Andrew William","",1985,10,6,2008,2013,2017
"ce0601d5","ce0601d5-bf86-4acd-997e-75ae5f2c8806",458006,"albem001","alberma01",4300,"Matt","Albers","Matthew James","",1983,1,20,2002,2006,2019
"d2303ae3","d2303ae3-69cc-49a2-ad98-c152c03c8d0d",593643,"albeh001","alberha01",11902,"Hanser","Alberto","Hanser Joel","",1992,10,17,2010,2015,2019
"1f8df31a","1f8df31a-c748-49f9-b1c4-d54d6c23ef18",645277,"albio001","albieoz01",16556,"Ozzie","Albies","Ozhaino Jurdy Jiandro","",1997,1,7,2014,2017,2019
"3c3cc188","3c3cc188-ae60-4572-ae6b-a9d42571c10b",456379,"albua001","albural01",6324,"Al","Alburquerque","Alberto Jose","",1986,6,10,2006,2011,2017
"217f5ad5","217f5ad5-5287-4f2f-8146-5fead9b45c4d",660896,"","alcaljo01",19459,"Jorge","Alcala","Jorge Luis","",1995,7,28,2015,2019,2019
"76f27af1","76f27af1-e2cf-4c62-be90-646f0b5c5c21",570489,"alcaa001","alcanar01",10711,"Arismendy","Alcantara","Arismendy","",1991,10,29,2009,2014,2017
